date,prec,prec_var,flow_obs,flow_sim,pet,tmin,tmean,tmax,srad,vprp
1981-01-01,0.213,0.033,0.492,0.661,3.939,8.49,14.63,20.77,23.392,11.282
1981-01-02,0.693,0.227,0.462,0.579,3.94,8.647,14.868,21.089,22.933,11.545
1981-01-03,1.434,2.039,0.437,0.502,3.028,10.18,15.19,20.2,15.642,12.935
1981-01-04,1.134,1.658,0.58,0.469,4.219,10.347,15.458,20.57,22.486,11.511
1981-01-05,1.862,6.452,0.476,0.469,3.612,9.104,15.05,20.996,23.561,10.811
1981-01-06,0.378,0.127,0.45,0.495,3.352,9.85,14.71,19.57,20.049,12.143
1981-01-07,1.338,0.687,0.424,0.539,2.634,11.781,14.938,18.095,13.893,13.381
1981-01-08,3.168,6.01,0.438,0.558,2.269,11.301,14.026,16.75,11.688,12.819
1981-01-09,4.83,15.006,0.681,0.594,2.663,11.192,15.159,19.126,14.946,12.579
1981-01-10,1.402,2.062,1.049,0.688,3.15,10.502,14.834,19.166,19.327,12.158
1981-01-11,1.391,0.719,0.694,0.842,3.081,9.793,15.033,20.274,20.047,12.915
1981-01-12,6.199,11.751,0.601,0.923,3.098,10.074,14.905,19.737,18.248,13.297
1981-01-13,5.981,25.834,0.561,1.036,2.459,10.284,13.693,17.102,18.335,11.603
1981-01-14,1.573,0.706,0.544,1.175,2.276,11.465,14.513,17.561,10.094,12.25
1981-01-15,0.5,0.108,0.545,1.197,3.019,11.251,15.612,19.972,18.559,12.157
1981-01-16,0.432,0.109,0.526,1.057,3.511,10.086,15.428,20.77,18.71,12.217
1981-01-17,1.084,0.546,0.482,0.884,3.963,9.966,15.463,20.961,18.305,13.358
1981-01-18,2.068,1.251,0.464,0.733,3.517,10.285,15.085,19.884,18.811,13.233
1981-01-19,1.352,1.05,0.479,0.656,3.156,9.589,14.965,20.341,18.34,13.03
1981-01-20,6.627,41.408,0.459,0.653,2.595,11.836,15.195,18.553,15.993,13.033
1981-01-21,0.993,1.082,0.497,0.701,2.917,9.795,13.495,17.194,18.06,12.807
1981-01-22,0.858,2.341,0.52,0.707,4.187,8.693,14.497,20.3,19.094,12.558
1981-01-23,0.397,0.541,0.471,0.655,4.192,9.468,14.373,19.278,20.711,11.427
1981-01-24,1.028,3.748,0.423,0.602,4.244,8.039,14.067,20.096,22.103,10.102
1981-01-25,0.352,0.41,0.392,0.565,4.268,8.956,14.72,20.485,24.31,10.735
1981-01-26,1.529,3.791,0.364,0.535,3.686,10.504,15.276,20.047,18.857,12.642
1981-01-27,0.63,0.166,0.367,0.516,2.777,11.937,15.42,18.903,15.845,12.916
1981-01-28,1.029,1.194,0.372,0.514,2.524,11.839,15.328,18.816,13.057,13.143
1981-01-29,1.63,1.714,0.385,0.509,2.267,11.658,14.296,16.933,14.254,13.294
1981-01-30,1.712,1.538,0.433,0.515,2.56,11.402,15.022,18.642,11.174,13.648
1981-01-31,0.343,0.079,0.44,0.544,2.359,11.315,14.398,17.481,8.965,13.721
1981-02-01,1.782,1.133,0.451,0.584,2.637,10.67,14.789,18.908,13.785,13.916
1981-02-02,4.239,2.896,0.463,0.585,2.661,10.839,15.168,19.496,16.608,13.271
1981-02-03,12.219,33.852,0.541,0.676,2.118,11.902,15.437,18.973,12.288,14.032
1981-02-04,8.242,16.294,1.103,0.986,2.376,11.296,14.748,18.2,11.638,14.719
1981-02-05,4.528,9.047,2.541,1.371,1.928,11.92,15.219,18.518,11.508,14.77
1981-02-06,5.814,16.145,1.569,1.716,2.279,11.524,15.134,18.744,11.6,13.755
1981-02-07,5.121,21.683,2.243,1.966,2.161,11.702,15.253,18.804,13.637,14.217
1981-02-08,4.664,6.253,1.55,2.168,2.329,11.914,15.078,18.241,15.655,13.823
1981-02-09,5.136,3.969,1.27,2.312,2.374,12.402,15.612,18.823,13.708,14.047
1981-02-10,2.439,2.932,1.033,2.368,2.623,12.065,15.659,19.253,15.07,13.774
1981-02-11,5.043,9.56,0.937,2.335,2.703,10.686,15.125,19.564,14.964,13.977
1981-02-12,12.243,59.889,0.86,2.312,2.745,11.714,15.904,20.093,14.512,14.776
1981-02-13,9.72,15.302,1.038,2.478,2.692,12.031,15.478,18.926,15.265,14.305
1981-02-14,4.948,7.022,1.771,2.758,2.785,11.734,15.751,19.768,16.629,13.789
1981-02-15,2.369,1.262,1.978,2.852,3.067,12.187,16.016,19.845,15.352,14.643
1981-02-16,4.686,11.603,1.63,2.657,2.242,11.957,15.525,19.093,13.877,14.521
1981-02-17,10.426,12.38,1.631,2.459,2.243,11.988,15.164,18.34,12.045,14.412
1981-02-18,12.305,11.274,2.765,2.555,2.241,11.952,14.701,17.449,13.566,14.509
1981-02-19,19.604,27.549,5.098,3.043,2.302,12.327,15.956,19.585,13.992,14.812
1981-02-20,10.381,13.457,4.862,3.607,2.66,11.532,15.132,18.732,16.815,14.589
1981-02-21,15.779,44.934,5.058,4.198,2.489,12.027,15.567,19.106,13.07,14.213
1981-02-22,11.914,13.447,5.054,4.48,2.068,11.292,15.219,19.145,12.484,14.655
1981-02-23,12.748,17.824,4.533,4.695,2.893,11.826,16,20.174,15.907,14.067
1981-02-24,17.77,20.215,4.704,4.836,2.485,12.056,15.823,19.589,14.998,14.661
1981-02-25,6.428,7.983,6.365,4.972,2.634,12.289,15.296,18.303,15.882,14.403
1981-02-26,4.692,6.818,4.985,4.893,3,12.681,16.198,19.714,16.061,14.304
1981-02-27,3.88,2.349,4.025,4.587,2.861,12.238,16.002,19.765,16.746,14.332
1981-02-28,4.629,11.981,3.658,4.192,3.264,11.972,15.769,19.567,16.638,14.718
1981-03-01,8.442,65.396,2.987,3.676,3.001,12.13,16.135,20.139,18.052,14.57
1981-03-02,8.08,74.44,2.543,3.45,3.565,12.294,16.424,20.553,16.204,14.765
1981-03-03,6.074,17.257,2.021,3.353,3.209,12.33,16.703,21.075,17.073,14.588
1981-03-04,14.736,28.696,1.748,3.27,3.283,12.632,16.706,20.779,15.228,15.057
1981-03-05,10.634,12.302,2.427,3.385,2.954,12.524,15.947,19.369,14.406,15.178
1981-03-06,10.652,11.647,2.487,3.579,2.383,12.713,16.384,20.055,12.991,15.52
1981-03-07,19.587,41.136,2.582,3.82,2.552,12.625,16.183,19.742,12.81,15.603
1981-03-08,32.295,107.37,3.128,4.401,2.203,12.999,15.865,18.73,11.247,15.488
1981-03-09,25.08,68.328,5.129,5.265,2.233,12.555,15.596,18.637,7.57,15.603
1981-03-10,17.155,40.519,5.875,6.158,2.181,12.494,15.314,18.135,9.858,15.466
1981-03-11,6.26,13.033,4.505,6.582,1.943,12.369,15.065,17.762,7.593,15.21
1981-03-12,16.085,34.542,3.958,6.431,2.154,12.022,15.619,19.215,14.375,14.747
1981-03-13,5.141,6.373,4.398,6.04,2.597,12.029,16.079,20.128,15.791,15.552
1981-03-14,3.332,4.892,3.749,5.6,2.75,11.823,16.054,20.285,16.907,14.679
1981-03-15,4.62,9.664,3.058,5.016,3.004,11.678,15.921,20.163,15.841,14.453
1981-03-16,3.091,4.773,2.709,4.421,3.179,12.153,16.269,20.384,18.692,13.9
1981-03-17,3.488,11.48,2.249,3.757,2.634,12.448,15.558,18.668,12.637,14.426
1981-03-18,1.344,0.848,2.192,3.218,2.494,12.124,15.353,18.582,13.413,14.199
1981-03-19,0.694,0.415,1.688,2.64,3.582,11.391,15.593,19.796,18.052,13.676
1981-03-20,0.079,0.002,1.511,2.075,3.413,9.441,14.968,20.495,18.269,13.738
1981-03-21,0.397,0.229,1.374,1.585,2.368,10.392,14.088,17.784,16.236,13.707
1981-03-22,0.539,0.515,1.257,1.248,3.475,10.306,14.62,18.933,20.01,13.114
1981-03-23,0.064,0.001,1.224,1.002,3.641,8.833,14.703,20.573,21.598,12.609
1981-03-24,0.835,0.422,1.106,0.814,3.571,10.046,14.812,19.577,20.641,13.041
1981-03-25,0.632,0.239,1.038,0.695,2.182,11.542,14.41,17.277,16.017,12.769
1981-03-26,0.576,0.218,0.983,0.628,3.018,9.577,14.13,18.684,16.164,13.598
1981-03-27,0.973,0.459,0.94,0.605,2.885,10.917,15.116,19.316,14.934,14.174
1981-03-28,9.273,74.35,0.879,0.638,2.742,10.94,15.528,20.117,15.294,14.219
1981-03-29,8.658,16.962,0.905,1.021,2.675,10.414,14.959,19.505,19.266,13.168
1981-03-30,0.989,0.275,1.108,1.452,2.769,9.944,14.708,19.473,18.867,13.112
1981-03-31,0.487,0.192,0.859,1.533,2.512,11.36,15.159,18.958,13.281,14.218
1981-04-01,0.209,0.03,0.772,1.535,3.128,11.351,15.482,19.613,14.525,13.976
1981-04-02,1.669,1.651,0.758,1.34,2.771,11.655,15.569,19.483,13.064,14.608
1981-04-03,3.874,4.875,0.799,1.209,3.043,10.961,15.75,20.539,15.621,14.707
1981-04-04,16.732,52.1,0.778,1.346,2.913,10.951,15.216,19.482,14.501,15.108
1981-04-05,10.253,42.119,1.642,1.937,2.556,11.883,15.028,18.172,13.463,15.02
1981-04-06,18.431,85.474,1.821,2.7,2.26,11.745,14.775,17.806,10.24,15.531
1981-04-07,13.582,150.089,2.783,3.416,2.388,11.351,14.546,17.742,9.702,14.967
1981-04-08,15.917,143.09,2.165,3.893,3.18,10.854,14.834,18.814,15.611,14.714
1981-04-09,5.887,17.508,2.464,4.258,2.955,11.552,14.772,17.993,15.715,14.691
1981-04-10,0.77,0.371,2.354,4.273,3.524,11.962,15.761,19.561,15.841,14.571
1981-04-11,2.94,2.997,1.693,3.898,3.684,10.707,15.223,19.739,15.447,14.799
1981-04-12,24.043,568.662,2.387,3.554,3.285,10.958,15.735,20.512,15.44,15.122
1981-04-13,7.144,8.606,3.434,3.739,3.077,11.348,15.568,19.789,15.705,14.177
1981-04-14,2.726,4.309,3.191,4.034,2.929,11.806,15.785,19.764,17.39,14.299
1981-04-15,4.503,8.181,2.695,3.887,2.935,10.941,15.124,19.308,16.596,14.555
1981-04-16,4.862,7.937,2.192,3.587,3.17,10.317,14.527,18.737,18.927,12.533
1981-04-17,1.309,1.203,1.983,3.293,3.074,11.066,15.482,19.898,19.256,13.255
1981-04-18,1.286,2.125,1.9,2.893,3.058,10.39,15.126,19.862,18.269,11.931
1981-04-19,0.87,1.92,1.856,2.429,2.474,10.1,15.017,19.934,14.337,12.952
1981-04-20,0.496,0.114,1.72,2.035,3.246,9.538,14.968,20.398,21.926,11.023
1981-04-21,4.357,29.596,1.585,1.763,3.405,8.793,14.486,20.179,19.167,12.422
1981-04-22,0.94,1.039,1.786,1.64,3.365,10.043,15.18,20.317,15.802,14.135
1981-04-23,0.315,0.071,1.628,1.554,2.924,9.735,15.157,20.58,14.816,14.402
1981-04-24,0.59,0.221,1.441,1.401,2.991,8.887,14.576,20.266,16.49,13.802
1981-04-25,0.571,0.114,1.396,1.239,2.78,10.86,14.875,18.89,13.957,14.36
1981-04-26,0.503,0.261,1.262,1.108,2.614,10.574,14.557,18.54,14.01,14.416
1981-04-27,0.737,0.725,1.143,0.983,2.934,10.749,15.812,20.874,14.166,14.582
1981-04-28,2.128,6.831,1.102,0.918,3.465,9.015,14.949,20.882,18.079,13.505
1981-04-29,1.859,4.089,0.993,0.888,3.105,9.414,14.763,20.113,20.099,12.751
1981-04-30,0.023,0,0.95,0.949,2.829,10.336,14.856,19.376,16.785,13.081
1981-05-01,0.018,0,0.88,0.983,3.617,8.956,14.243,19.53,21.13,11.761
1981-05-02,0.017,0,0.843,0.958,3.559,8.731,14.373,20.015,22.295,10.556
1981-05-03,0.559,0.743,0.781,0.88,3.693,8.89,14.637,20.385,22.494,9.705
1981-05-04,0.624,0.121,0.793,0.816,3.133,8.407,13.885,19.363,21.487,10.176
1981-05-05,0.238,0.052,0.66,0.775,2.982,8.114,13.772,19.43,21.465,10.807
1981-05-06,1.405,0.736,0.652,0.756,3.073,8.196,13.684,19.173,19.635,11.57
1981-05-07,0.546,0.214,0.583,0.75,2.533,8.986,13.479,17.972,11.68,12.531
1981-05-08,0.917,0.296,0.639,0.758,2.516,8.671,13.361,18.051,11.543,12.575
1981-05-09,0.622,0.525,0.598,0.751,2.932,8.718,13.94,19.163,16.854,12.417
1981-05-10,0.263,0.077,0.578,0.738,2.63,9.182,13.696,18.21,16.878,12.014
1981-05-11,0.396,0.15,0.559,0.717,2.413,9.397,13.548,17.7,15.313,12.67
1981-05-12,0.184,0.04,0.59,0.694,3.024,8.925,14.277,19.629,16.869,13.121
1981-05-13,1.065,2.69,0.602,0.674,3.122,9.519,14.626,19.733,13.839,14.242
1981-05-14,0.861,0.539,0.554,0.667,2.737,10.278,14.789,19.301,13.569,14.016
1981-05-15,3.482,15.192,0.57,0.694,3.01,9.809,15.194,20.578,16.126,13.966
1981-05-16,0.832,0.4,0.562,0.79,2.8,10.371,14.844,19.317,13.985,14.415
1981-05-17,1.008,0.878,1.07,0.893,2.591,10.754,15.015,19.276,14.919,14.055
1981-05-18,0.481,0.149,0.998,0.958,3.146,10.746,15.526,20.306,14.996,14.345
1981-05-19,0.399,0.229,0.697,0.956,3.44,11.16,15.82,20.479,16.237,13.918
1981-05-20,0.552,0.391,0.612,0.917,3.66,11.364,15.978,20.592,16.348,13.858
1981-05-21,0.9,0.818,0.567,0.856,3.378,11.043,15.541,20.039,16.069,13.856
1981-05-22,2.104,3.938,0.535,0.824,3.198,10.853,15.247,19.642,16.625,13.555
1981-05-23,3.209,9.019,0.519,0.843,2.64,12.066,16.019,19.972,14.011,14.328
1981-05-24,1.025,0.251,0.545,0.942,3.037,10.409,15.383,20.357,14.134,14.382
1981-05-25,0.097,0.004,0.579,1.021,3.271,11.14,15.565,19.989,15.476,14.178
1981-05-26,0.164,0.015,0.523,1.021,2.865,11.345,15.363,19.382,12.214,14.296
1981-05-27,0.544,0.393,0.501,0.957,2.99,12.016,15.894,19.771,15.112,13.941
1981-05-28,1.274,4.547,0.514,0.862,3.085,11.771,15.651,19.531,13.84,13.932
1981-05-29,1.424,3.176,0.515,0.812,2.435,10.859,14.741,18.622,11.011,14.558
1981-05-30,0.458,0.178,0.522,0.812,2.332,9.866,14.47,19.073,13.431,13.848
1981-05-31,0.024,0,0.615,0.828,3.051,8.687,14.159,19.631,14.762,13.391
1981-06-01,0.274,0.13,0.537,0.682,3.056,8.203,13.609,19.015,12.566,14.002
1981-06-02,0.438,0.368,0.506,0.641,3.472,7.622,13.895,20.168,20.451,10.7
1981-06-03,0.3,0.172,0.486,0.596,3.385,7.804,14.16,20.516,20.463,9.933
1981-06-04,0.024,0,0.468,0.56,3.498,7.237,14.068,20.899,17.642,11.769
1981-06-05,1.195,2.635,0.455,0.525,3.288,9.484,14.505,19.526,13.556,13.246
1981-06-06,1.447,0.647,0.462,0.515,3.311,9.225,14.612,19.998,14.674,13.436
1981-06-07,7.159,27.121,0.479,0.559,2.697,9.713,14.044,18.375,11.305,14.022
1981-06-08,7.557,39.991,0.649,0.759,2.548,10.36,14.501,18.641,13.208,13.118
1981-06-09,5.219,16.397,1.148,1.169,2.912,9.859,14.257,18.654,13.863,13.527
1981-06-10,0.069,0.004,0.926,1.489,3.031,9.903,14.212,18.521,12.107,14.119
1981-06-11,0.675,0.455,0.713,1.597,3.068,9.191,13.991,18.791,14.276,13.275
1981-06-12,6.041,23.987,0.641,1.49,2.727,8.776,13.993,19.21,13.201,13.423
1981-06-13,1.499,1.826,1.042,1.436,2.582,10.684,14.784,18.884,11.292,13.749
1981-06-14,0.577,0.488,1.215,1.467,2.836,10.007,14.403,18.799,14.025,12.982
1981-06-15,1.145,3.826,0.812,1.395,2.824,10.432,14.677,18.922,14.064,13.098
1981-06-16,0.31,0.068,0.741,1.275,2.911,10.256,14.624,18.991,13.161,13.217
1981-06-17,3.503,34.619,0.828,1.152,3.028,10.182,14.677,19.172,13.463,13.438
1981-06-18,9.288,55.477,0.737,1.107,2.646,10.621,14.344,18.066,12.077,13.822
1981-06-19,6.588,42.901,1.737,1.352,2.271,9.647,13.802,17.956,13.964,13.68
1981-06-20,3.711,12.867,1.81,1.811,2.829,9.052,13.803,18.555,12.885,13.448
1981-06-21,0.336,0.218,1.345,2.053,3.427,8.494,14.043,19.591,15.237,12.635
1981-06-22,0,0,0.997,2.002,3.342,7.751,13.535,19.318,14.633,12.601
1981-06-23,0.252,0.065,0.835,1.78,3.407,9.009,14.217,19.425,15.092,12.805
1981-06-24,0.336,0.079,0.745,1.438,3.351,10.118,14.716,19.314,14.297,13.019
1981-06-25,0.122,0.015,0.68,1.181,3.256,10.173,14.772,19.371,15.159,12.608
1981-06-26,0.185,0.024,0.646,0.955,3.402,10.163,14.372,18.58,14.225,12.494
1981-06-27,0.197,0.066,0.631,0.756,3.339,8.86,13.986,19.113,14.544,12.398
1981-06-28,0.333,0.209,0.598,0.632,3.517,8.942,14.294,19.647,14.882,12.46
1981-06-29,0.008,0,0.575,0.554,3.542,8.758,14.194,19.63,15.24,12.752
1981-06-30,0.005,0,0.56,0.505,3.616,7.495,14.031,20.566,17.102,12.629
